Variable	PEN	PEN_TMD	TMD_MAC_PEN	TMD_PEN	TMD_PEN_MAC
fig.623.1285.peg.1481	0	0	0.016060711384102814	-0.009168358816432357	0
fig.623.1285.peg.1840	-0.10031313905034087	0	0	0	0
fig.623.1285.peg.4763	0	0.03034695224613626	0	0	0
fig.623.1286.peg.4199	-0.01908839980191684	0	0	0	0
fig.623.1286.peg.4200	-0.019100039645601963	0	0	0	0
fig.623.1286.peg.4203	-0.10056089443738331	0.08132081796496667	0	0	0
fig.623.1286.peg.4204	-0.01908695520446637	0	0	0	0
fig.623.1287.peg.1312	0	0	0	0.09667086656386316	0
fig.623.1287.peg.4670	0	0	0	0.018997143060263552	0
fig.623.1287.peg.4782	0	0.005293642910928606	0	0	0
fig.623.1288.peg.1645	0	-0.02426997409315058	0	0.1813625623748791	0
fig.623.1288.peg.2320	0.10029887216033412	0	0	0	0
fig.623.1288.peg.3702	0	0	0	0	0.028688911344445397
fig.623.1288.peg.3764	0	0	0	0.003322502511697526	0
fig.623.1288.peg.4563	-0.04082989162197728	0	0	0.03274823141405698	0
fig.623.1289.peg.3439	0.00184834354176959	0	0	0	0
fig.623.1289.peg.4140	0.18067944434222322	0	0	0	0
fig.623.1291.peg.2096	0	0	0	0	0.11022103570725895
fig.623.1291.peg.4660	0.011836649422223355	0	0	0	0
fig.623.1292.peg.2766	0.02855141283399161	0	0	0	0
fig.623.1292.peg.4477	0	0.005189567089978243	0	0	0
fig.623.1292.peg.4791	0	0.16767193671797545	0	0	0
fig.623.1293.peg.2283	0	0	0.03977605257707207	0	0
fig.623.1293.peg.2295	0	0	0	0	0.02689480307167271
fig.623.1293.peg.4088	0	0	0.02905369710810353	0	0.05732565424809879
fig.623.1293.peg.4245	0	0	0.009613624123749128	0	0
fig.623.1293.peg.4321	0	0	0	0	0.020934754922505634
fig.623.1293.peg.4708	0.19657000263253893	0	0	0	0
fig.623.1295.peg.2504	0	0	0	0.11375541536126195	0
fig.623.1296.peg.4191	0.0020039831106278046	0	0	0	0
fig.623.1296.peg.4293	1.6596969943586586e-4	0	0	0	0
fig.623.1296.peg.4404	0	0	0.0827506818959575	0	0
fig.623.1298.peg.1505	0	0	0	0.004882329494955606	0
fig.623.1298.peg.4228	0	-0.021901073042743316	0	0	0
fig.623.1299.peg.10	0.011885032005282497	0	0	0	0
fig.623.1299.peg.1652	0.011597937269236337	0	0	0	0
fig.623.1299.peg.1916	0.011307646686476585	0	0	0	0
fig.623.1299.peg.233	0.011061464940628681	0	0	0	0
fig.623.1299.peg.2356	0.010912537712108185	0	0	0	0
fig.623.1299.peg.3415	0.01084973141586792	0	0	0	0
fig.623.1299.peg.3453	0.01083161220162104	0	0	0	0
fig.623.1299.peg.3454	0.010822499354470941	0	0	0	0
fig.623.1299.peg.3460	0.010805211217294353	0	0	0	0
fig.623.1299.peg.4121	0.01077755022639048	0	0	0	0
fig.623.1299.peg.4553	0.010744185827531495	0	0	0	0
fig.623.1301.peg.2707	0	0	0.00835739413309834	0	0
fig.623.1301.peg.4391	0	0	0.007678997542411685	0	0
